# Zini   MH      logAge Mini         int_IMF      Mass  logL   logTe  logg   label McoreTP C_O   period0 period1 period2 period3 period4 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z       mbolmag Gmag   G_BPmag G_RPmag
  0.0152 0.01508 9.0    0.0900000036 1.0816895926 0.09  -3.384 3.3657 5.191  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -4.43E-17 0.0   0.7091 0.2756 0.002746 7.408E-4 0.006719 -1.0    0.01527 13.23   15.283 18.2    13.793 
  0.0152 0.01508 9.0    0.1000000015 1.1711064122 0.1   -3.222 3.3893 5.17   0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -6.24E-17 0.0   0.7091 0.2757 0.002746 7.408E-4 0.006719 -1.0    0.01527 12.826  14.878 17.787  13.389 
  0.0152 0.01508 9.0    0.1200000122 1.3193155232 0.12  -2.975 3.4228 5.135  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.05E-16 0.0   0.709  0.2757 0.002746 7.408E-4 0.006719 -1.0    0.01527 12.208  14.181 16.968  12.71  
  0.0152 0.01508 9.0    0.1229623184 1.3385314003 0.123 -2.948 3.4259 5.131  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.1E-16  0.0   0.709  0.2757 0.002746 7.408E-4 0.006719 -1.0    0.01527 12.14   14.067 16.791  12.608 
  0.0152 0.01508 9.0    0.1400000006 1.4384526719 0.14  -2.794 3.443  5.102  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.52E-16 0.0   0.7089 0.2758 0.002746 7.408E-4 0.006719 -1.0    0.01527 11.755  13.453 15.87   12.048 
  0.0152 0.01508 9.0    0.1493837237 1.4869687019 0.149 -2.726 3.4495 5.088  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.75E-16 0.0   0.7089 0.2758 0.002746 7.408E-4 0.006719 -1.0    0.01527 11.585  13.199 15.504  11.814 
  0.0152 0.01508 9.0    0.1599999964 1.5372931554 0.16  -2.653 3.4565 5.073  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -2.03E-16 0.0   0.7088 0.2759 0.002746 7.408E-4 0.006719 -1.0    0.01527 11.403  12.929 15.112  11.569 
  0.0152 0.01508 9.0    0.200000003  1.6938790862 0.2   -2.438 3.4752 5.03   0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -3.14E-16 0.0   0.7087 0.276  0.002746 7.408E-4 0.006719 -1.0    0.01527 10.865  12.173 14.063  10.877 
  0.0152 0.01508 9.0    0.25         1.8403257998 0.25  -2.236 3.4916 4.991  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -4.67E-16 0.0   0.7086 0.2761 0.002746 7.408E-4 0.006719 -1.0    0.01527 10.36   11.49  13.148  10.253 
  0.0152 0.01508 9.0    0.313580513  1.9793373055 0.314 -2.035 3.5051 4.941  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -7.02E-16 0.0   0.7089 0.2759 0.002746 7.408E-4 0.006719 -1.0    0.01527 9.856   10.867 12.38   9.673  
  0.0152 0.01508 9.0    0.3194212019 1.9902480622 0.319 -2.016 3.5062 4.935  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -7.31E-16 0.0   0.7089 0.2758 0.002746 7.408E-4 0.006719 -1.0    0.01527 9.81    10.812 12.312  9.621  
  0.0152 0.01508 9.0    0.346612215  2.0378297976 0.347 -1.938 3.5118 4.916  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -8.59E-16 0.0   0.7091 0.2756 0.002746 7.408E-4 0.006719 -1.0    0.01527 9.616   10.571 12.017  9.398  
  0.0152 0.01508 9.0    0.3500000238 2.0434175133 0.35  -1.929 3.5125 4.913  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -8.75E-16 0.0   0.7091 0.2756 0.002746 7.408E-4 0.006719 -1.0    0.01527 9.593   10.543 11.982  9.372  
  0.0152 0.01508 9.0    0.4000000358 2.118502481  0.4   -1.781 3.5233 4.866  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.22E-15 0.0   0.7092 0.2755 0.002746 7.408E-4 0.006719 -1.0    0.01527 9.221   10.091 11.435  8.952  
  0.0152 0.01508 9.0    0.4500000477 2.1822809714 0.45  -1.631 3.5353 4.815  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.72E-15 0.0   0.7092 0.2755 0.002746 7.408E-4 0.006719 -1.0    0.01527 8.847   9.635  10.888  8.53   
  0.0152 0.01508 9.0    0.5          2.2374541529 0.5   -1.476 3.5498 4.764  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -2.47E-15 0.0   0.7092 0.2755 0.002746 7.408E-4 0.006719 -1.0    0.01527 8.459   9.156  10.312  8.092  
  0.0152 0.01508 9.0    0.5093277693 2.2468676136 0.509 -1.444 3.5535 4.755  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -2.66E-15 0.0   0.7095 0.2753 0.002743 7.401E-4 0.006712 -1.0    0.01526 8.381   9.055  10.188  8.002  
  0.0152 0.01508 9.0    0.5500000119 2.2836582633 0.55  -1.315 3.5684 4.719  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -3.59E-15 0.0   0.7115 0.2733 0.002725 7.352E-4 0.006668 -1.0    0.01518 8.057   8.64   9.68    7.63   
  0.0152 0.01508 9.0    0.5591725707 2.2911095074 0.559 -1.284 3.5728 4.713  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -3.84E-15 0.0   0.7116 0.2733 0.002724 7.35E-4  0.006666 -1.0    0.01517 7.981   8.537  9.552   7.54   
  0.0152 0.01508 9.0    0.6000000238 2.3211213258 0.6   -1.153 3.5914 4.687  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -5.17E-15 0.0   0.7119 0.273  0.002722 7.343E-4 0.00666  -1.0    0.01513 7.654   8.106  9.023   7.162  
  0.0152 0.01508 9.0    0.6159545183 2.3316135234 0.616 -1.101 3.5998 4.68   0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -5.8E-15  0.0   0.712  0.2728 0.002721 7.34E-4  0.006658 -1.0    0.01515 7.523   7.933  8.811   7.011  
  0.0152 0.01508 9.0    0.6409611702 2.346856424  0.641 -1.021 3.6127 4.669  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -6.92E-15 0.0   0.7122 0.2727 0.002719 7.336E-4 0.006654 -1.0    0.01516 7.323   7.672  8.492   6.784  
  0.0152 0.01508 9.0    0.6499999762 2.3520353107 0.65  -0.993 3.6174 4.666  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -7.35E-15 0.0   0.7122 0.2726 0.002718 7.335E-4 0.006653 -1.0    0.01516 7.253   7.579  8.379   6.704  
  0.0152 0.01508 9.0    0.7000000477 2.3779267258 0.7   -0.839 3.6454 4.656  0     0.0     0.545 0.0     0.0     0.0     0.0     0.0     -1    -1.02E-14 0.0   0.7125 0.2723 0.002716 7.328E-4 0.006647 -1.0    0.01514 6.867   7.058  7.734   6.263  
  0.0152 0.01508 9.0    0.7033798099 2.379524756  0.703 -0.828 3.6474 4.655  0     0.0     0.544 0.0     0.0     0.0     0.0     0.0     -1    -1.05E-14 0.0   0.7126 0.2723 0.002713 7.326E-4 0.006646 -1.0    0.01513 6.841   7.022  7.689   6.234  
  0.0152 0.01508 9.0    0.75         2.3998889087 0.75  -0.692 3.674  4.653  1     0.0     0.538 0.0     0.0     0.0     0.0     0.0     -1    -1.39E-14 0.0   0.7129 0.272  0.002677 7.312E-4 0.006641 -1.0    0.01511 6.499   6.564  7.129   5.851  
  0.0152 0.01508 9.0    0.753123939  2.4011502006 0.753 -0.683 3.6753 4.651  1     0.0     0.538 0.0     0.0     0.0     0.0     0.0     -1    -1.42E-14 0.0   0.7129 0.272  0.002677 7.311E-4 0.006641 -1.0    0.01511 6.478   6.538  7.098   5.828  
  0.0152 0.01508 9.0    0.8000000119 2.4187244405 0.8   -0.56  3.6943 4.63   1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.87E-14 0.0   0.7134 0.2715 0.002673 7.3E-4   0.006632 -1.0    0.01509 6.17    6.167  6.668   5.507  
  0.0152 0.01508 9.0    0.8025270104 2.4196049879 0.802 -0.553 3.6952 4.629  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.9E-14  0.0   0.7134 0.2715 0.002673 7.3E-4   0.006631 -1.0    0.01509 6.153   6.148  6.646   5.49   
  0.0152 0.01508 9.0    0.8500000238 2.435034684  0.85  -0.434 3.7134 4.607  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -2.49E-14 0.0   0.714  0.271  0.002669 7.288E-4 0.00662  -1.0    0.015   5.855   5.803  6.252   5.189  
  0.0152 0.01508 9.0    0.9000000358 2.4492786175 0.899 -0.315 3.7309 4.582  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -3.27E-14 0.0   0.7147 0.2703 0.002663 7.272E-4 0.006606 -1.0    0.01502 5.557   5.47   5.878   4.895  
  0.0152 0.01508 9.0    0.9086850882 2.4515697437 0.908 -0.294 3.7337 4.577  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -3.44E-14 0.0   0.7148 0.2701 0.002661 7.268E-4 0.006603 -1.0    0.01502 5.506   5.415  5.816   4.846  
  0.0152 0.01508 9.0    0.9500000477 2.4618122009 0.95  -0.2   3.7467 4.554  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -4.29E-14 0.0   0.7156 0.2694 0.002655 7.251E-4 0.006587 -1.0    0.01501 5.271   5.162  5.532   4.624  
  0.0152 0.01508 9.0    1.0          2.4729154477 1.0   -0.09  3.7608 4.523  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -5.59E-14 0.0   0.7169 0.2682 0.002644 7.223E-4 0.006562 -1.0    0.01492 4.995   4.875  5.212   4.369  
  0.0152 0.01508 9.0    1.0192395449 2.4768555849 1.019 -0.049 3.7657 4.51   1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -6.0E-14  0.0   0.7176 0.2675 0.002639 7.207E-4 0.006548 -1.0    0.01487 4.892   4.769  5.095   4.275  
  0.0152 0.01508 9.0    1.0499999523 2.482811486  1.049 0.016  3.7734 4.488  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -6.73E-14 0.0   0.7188 0.2664 0.002629 7.181E-4 0.006524 -1.0    0.01479 4.729   4.603  4.912   4.128  
  0.0152 0.01508 9.0    1.1000000238 2.491680148  1.099 0.119  3.7848 4.451  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -8.03E-14 0.0   0.7219 0.2634 0.002604 7.114E-4 0.006464 -1.0    0.01467 4.472   4.343  4.627   3.896  
  0.0152 0.01508 9.0    1.1228656769 2.4954345437 1.122 0.165  3.7897 4.434  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -8.65E-14 0.0   0.7236 0.2618 0.002591 7.078E-4 0.006432 -1.0    0.01461 4.357   4.229  4.502   3.793  
  0.0152 0.01508 9.0    1.1499999762 2.4996678137 1.149 0.218  3.7952 4.413  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -9.45E-14 0.0   0.7257 0.2597 0.002574 7.034E-4 0.006393 -1.0    0.01454 4.224   4.096  4.358   3.674  
  0.0152 0.01508 9.0    1.2000000477 2.5068948796 1.199 0.314  3.805  4.375  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.1E-13  0.0   0.7258 0.2596 0.002581 7.056E-4 0.006414 -1.0    0.01457 3.984   3.857  4.1     3.459  
  0.0152 0.01508 9.0    1.25         2.5134610955 1.25  0.405  3.8142 4.338  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.24E-13 0.0   0.726  0.2594 0.002581 7.056E-4 0.006415 -1.0    0.01458 3.756   3.632  3.857   3.256  
  0.0152 0.01508 9.0    1.2999999523 2.5194498592 1.3   0.492  3.8228 4.303  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.38E-13 0.0   0.7263 0.2591 0.002579 7.05E-4  0.006409 -1.0    0.0146  3.541   3.417  3.626   3.061  
  0.0152 0.01508 9.0    1.3080345392 2.5203632294 1.308 0.505  3.8243 4.298  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.39E-13 0.0   0.7263 0.2591 0.002579 7.051E-4 0.006411 -1.0    0.01459 3.507   3.383  3.59    3.031  
  0.0152 0.01508 9.0    1.3500001431 2.5249313723 1.35  0.574  3.8315 4.272  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.48E-13 0.0   0.7258 0.2596 0.002583 7.062E-4 0.00642  -1.0    0.01458 3.335   3.212  3.407   2.877  
  0.0152 0.01508 9.0    1.4000000954 2.5299650415 1.4   0.652  3.8402 4.245  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.54E-13 0.0   0.7258 0.2596 0.002582 7.058E-4 0.006416 -1.0    0.0146  3.139   3.018  3.198   2.704  
  0.0152 0.01508 9.0    1.4404820204 2.5337474614 1.441 0.714  3.8479 4.227  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.54E-13 0.0   0.7261 0.2593 0.00258  7.052E-4 0.006411 -1.0    0.01462 2.986   2.867  3.035   2.572  
  0.0152 0.01508 9.0    1.4500000477 2.5346015836 1.45  0.728  3.8497 4.222  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.54E-13 0.0   0.7261 0.2592 0.002579 7.051E-4 0.00641  -1.0    0.01463 2.95    2.832  2.997   2.541  
  0.0152 0.01508 9.0    1.4922132492 2.5382391385 1.492 0.789  3.858  4.206  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.48E-13 0.0   0.7264 0.259  0.002577 7.046E-4 0.006405 -1.0    0.01459 2.797   2.682  2.833   2.411  
  0.0152 0.01508 9.0    1.5          2.5388844597 1.5   0.8    3.8594 4.203  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.47E-13 0.0   0.7265 0.259  0.002577 7.045E-4 0.006404 -1.0    0.01458 2.769   2.654  2.804   2.387  
  0.0152 0.01508 9.0    1.5023090839 2.539074345  1.502 0.804  3.8599 4.202  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.46E-13 0.0   0.7265 0.2589 0.002577 7.044E-4 0.006404 -1.0    0.01458 2.761   2.646  2.795   2.38   
  0.0152 0.01508 9.0    1.5499999523 2.5428511323 1.55  0.87   3.8683 4.183  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.3E-13  0.0   0.7267 0.2588 0.002575 7.038E-4 0.0064   -1.0    0.0145  2.595   2.485  2.62    2.24   
  0.0152 0.01508 9.0    1.5530842543 2.5430862206 1.553 0.874  3.8688 4.182  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.28E-13 0.0   0.7268 0.2587 0.002575 7.038E-4 0.0064   -1.0    0.0145  2.585   2.474  2.609   2.231  
  0.0152 0.01508 9.0    1.5960856676 2.5462552983 1.596 0.932  3.8755 4.163  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.04E-13 0.0   0.7269 0.2586 0.002574 7.036E-4 0.006397 -1.0    0.01454 2.44    2.333  2.458   2.107  
  0.0152 0.01508 9.0    1.6000000238 2.5465340628 1.6   0.937  3.876  4.161  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.02E-13 0.0   0.7269 0.2586 0.002574 7.036E-4 0.006397 -1.0    0.01454 2.427   2.32   2.444   2.095  
